Grade,Chapter Name,Concept Name,Concept Description,Concept Image,Source URL - Image,Credit - Image
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"A REPRESENTATIVE STUDY OF MAMMALS","undefined","undefined","undefined","undefined","undefined"
10,"Electricity","undefined","undefined","undefined","undefined","undefined"
10,"Acids, Bases and Salts","undefined","undefined","undefined","undefined","undefined"
10,"Excretion","undefined","undefined","undefined","undefined","undefined"
10,"Acids, Bases and Salts","undefined","undefined","undefined","undefined","undefined"
10,"Electricity","undefined","undefined","undefined","undefined","undefined"
10,"After Metabolism","undefined","undefined","undefined","undefined","undefined"
10,"Acids, Bases and Salts","undefined","undefined","undefined","undefined","undefined"
10,"Electricity","undefined","undefined","undefined","undefined","undefined"
10,"Acids, Bases and Salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"Nutrition and Respiration","undefined","undefined","undefined","undefined","undefined"
10,"Sources of Energy","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"acids bases and salts","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Paraffins, Unsaturated hydrocarbon, Petroleum and Soap","undefined","undefined","undefined","undefined","undefined"
10,"Alternative sources of energy","undefined","undefined","undefined","undefined","undefined"
10,"Mineral Coal and Mineral Oil","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Classification Organic compounds and homologous compounds","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Mineral Coal and Mineral Oil","undefined","undefined","undefined","undefined","undefined"
10,"Nuclear Energy","undefined","undefined","undefined","undefined","undefined"
10,"Organic compounds","undefined","undefined","undefined","undefined","undefined"
10,"Sources of Energy","undefined","undefined","undefined","undefined","undefined"
10,"Chemistry in Everyday Life","undefined","undefined","undefined","undefined","undefined"
10,"Acids, Bases and Salts","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Reproduction in Organisms","undefined","undefined","undefined","undefined","undefined"
10,"Metals","undefined","undefined","undefined","undefined","undefined"
10,"Metals","undefined","undefined","undefined","undefined","undefined"
10,"Heredity","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Structure of atom","undefined","undefined","undefined","undefined","undefined"
10,"Structure of atom","undefined","undefined","undefined","undefined","undefined"
10,"metals and non metals","undefined","undefined","undefined","undefined","undefined"
10,"Heredity and Evolution","undefined","undefined","undefined","undefined","undefined"
